,Item Code,Conversion Ratio
11749,958159-59,0.022
11750,958160-60,0.028
11751,958161-61,0.028
11755,8755831-31,0.031
11776,989668-68,12.73577
11795,500449-49,22.2717
11821,951862-62,11.2305
11826,967982-82,18.4934
11849,990158-58,0.04246
11852,992725-25,0.146
11922,500818-18,3.7841
11935,501393-93,30.88101
11997,503426-26,6.7265
12186,993081-81,16.53807
12249,999855-55,0.25429
12260,992728-28,0.0818
12288,942103-03,0.02459
12290,946050-50,0.02459
12294,968559-59,0.028
12299,982890-90,19.510830000000002
12300,982899-99,19.32292
12302,996674-74,20.54523
12376,812105-05,0.242
12377,1199000701-01,0.93
12378,1199024513-13,0.4
12385,926446-46,0.10743000000000001
12552,920289-89,0.026
12560,8297732-32,0.1255
12622,8859933-33,0.4
12624,8871561-61,0.04395
12626,8871562-62,0.04395
12631,8871594-94,0.04395
12637,8871631-31,0.07895
12638,8871632-32,0.07895
12648,9126352-52,0.1199
12649,9126353-53,0.1199
12757,944021-21,0.01053
12758,944022-22,0.01053
12760,944023-23,0.01053
12842,919266-66,0.008
12857,967263-63,0.014
12858,967378-78,0.014
12930,9240111-11,0.0422
12970,888751-51,0.047670000000000004
12980,841369-69,0.106
12983,926279-79,0.03
12984,9262781-81,0.03
12986,9262801-01,0.03
12996,9262811-11,0.045
12997,9262822-22,0.045
13006,8022921-21,0.032
13009,8022922-22,0.032
13011,8022932-32,0.054
13012,8022933-33,0.054
13016,8022988-88,0.032
13033,9122762-62,0.076
13035,9246491-91,5.013
13036,9246502-02,0.076
13114,926275-75,0.025
13115,9262751-51,0.025
13120,9505181-81,0.02
13123,9373901-01,0.02
13128,9262741-41,0.016
13186,837394-94,0.029
13187,837395-95,0.029
13188,837396-96,0.029
13210,8373961-61,0.024829999999999998
13246,961522-22,0.70658
13305,9017582-82,0.014
13343,802305-05,0.173
13347,802308-08,0.173
13363,992656-56,0.0362
13365,992655-55,0.0218
13367,992652-52,0.0405
13372,992654-54,0.0318
13377,992657-57,0.0531
13406,897690-90,1.01
13411,9375172-72,0.109
13413,9375182-82,0.146
13415,83256610-10,0.0778
13424,8805376-76,0.0778
13433,982884-84,0.146
13445,8705001-01,0.023600000000000003
13452,8794311-11,0.0385
13458,9126371-71,0.0517
13494,889228-28,0.01703
13497,933872-72,0.027440000000000003
13498,8290801-01,0.14
13558,943452-52,0.02061
13560,943453-53,0.02061
13563,943457-57,0.04847
13570,997954-54,0.04847
13625,888681-81,0.13
13626,888695-95,0.09824
13627,890614-14,2.616
13628,896996-96,0.09824
13643,8969961-61,0.09824
13644,9117381-81,0.13
13682,983347-47,0.1695
13688,976883-83,0.019
13712,942076-76,0.032
13713,942082-82,0.032
13858,964823-23,0.019
13859,964824-24,0.033
13863,968391-91,0.019
13916,947708-08,0.11
13929,896049-49,0.016300000000000002
13930,8571482-82,0.016300000000000002
13936,8794074-74,0.016300000000000002
13938,8794084-84,0.016300000000000002
13939,8795005-05,0.016300000000000002
