,Date,Month-Year,Warehouse Code,Customer Code,Order Number,Order Line Number,Item Code,Units,Euros
22960,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,18,8871561-61,1120.0,1274.78
22961,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,19,896049-49,300.0,1115.46
22962,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,20,875577-77,700.0,424.9
22963,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,21,8902742-42,375.0,324.86
22964,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,22,875582-82,700.0,672.84
22965,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,23,8571482-82,520.0,1295.53
25390,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,1,802051-51,40.0,31.88
25391,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,2,830864-64,20.0,29.25
25392,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,3,830863-63,30.0,43.88
25393,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,4,937555-55,20.0,15.94
25394,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,5,937554-54,20.0,15.94
25395,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,6,918533-33,20.0,29.25
25396,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,7,8957921-21,20.0,14.02
25397,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,8,802063-63,20.0,12.51
25398,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,9,802064-64,20.0,12.51
25399,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,10,802077-77,100.0,91.52
25400,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,11,802078-78,20.0,18.3
25401,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,12,902126-26,80.0,102.9
25402,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,14,942103-03,20.0,33.39
25403,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,15,887776-76,20.0,19.27
25404,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,16,8871292-92,20.0,25.72
25405,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,17,992668-68,25.0,40.35
25406,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,19,8031256-56,20.0,13.82
25407,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,20,942082-82,20.0,27.44
25408,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,21,964823-23,20.0,13.72
25409,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,22,964824-24,20.0,27.44
25410,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,23,943453-53,20.0,25.42
25411,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,26,944022-22,20.0,47.21
25412,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,28,8794095-95,20.0,37.63
25413,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,29,8571482-82,20.0,39.74
25414,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,30,8794084-84,20.0,44.28
25415,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,31,8479004-04,20.0,33.19
25416,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,32,896049-49,20.0,59.31
25417,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,33,897001-01,25.0,32.28
25418,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,34,875586-86,25.0,26.73
25419,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,35,921215-15,25.0,39.75
25420,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,36,880410-10,25.0,26.73
25421,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,37,921216-16,25.0,39.75
25422,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,38,892273-73,25.0,26.73
25423,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,39,8206444-44,20.0,16.85
25424,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,40,8206472-72,20.0,16.85
25425,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,41,8755811-11,25.0,61.53
25426,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,42,875582-82,25.0,19.17
25427,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,43,8902764-64,25.0,7.95
25428,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,44,8902742-42,50.0,34.55
25429,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,45,8902753-53,25.0,13.24
25430,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,46,8902772-72,50.0,45.9
25431,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,47,861128-28,25.0,13.75
25432,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,48,861126-26,25.0,13.75
25433,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,49,8803232-32,25.0,19.92
25434,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,50,8803271-71,25.0,12.74
25435,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,51,8803261-61,25.0,12.74
25436,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,52,8803251-51,25.0,45.9
25437,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,55,893133-33,20.0,23.71
25438,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,56,824755-55,20.0,14.32
25439,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,57,951345-45,20.0,29.76
25440,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,58,951344-44,20.0,29.76
25441,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,60,875710-10,25.0,15.76
25442,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,61,905470-70,50.0,54.98
25443,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,62,875711-11,50.0,54.98
25444,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,63,1199005728-28,24.0,40.92
25445,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,64,875708-08,25.0,25.85
25446,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,65,875593-93,25.0,43.5
25447,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,66,9581661-61,24.0,53.75
25448,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,68,841360-60,24.0,27.12
25449,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,69,841362-62,48.0,61.01
25450,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,70,8128704-04,40.0,38.94
25451,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,71,8128741-41,40.0,75.86
25452,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,72,924593-93,2.0,227.57
25453,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,74,8695976-76,20.0,41.36
25454,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,75,8705001-01,20.0,22.39
25455,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,76,8794311-11,20.0,43.88
25456,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,77,900338-38,20.0,22.8
25457,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,78,918463-63,20.0,22.8
25458,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,79,8022921-21,20.0,20.07
25459,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,82,8871561-61,10.0,9.08
25460,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,84,918470-70,10.0,6.56
25461,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,85,920293-93,25.0,40.1
25462,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,86,937508-08,26.0,61.37
25463,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,87,841800-00,25.0,78.68
25464,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,88,937443-43,20.0,92.6
25465,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,89,8289641-41,24.0,71.42
25466,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,91,8902881-81,25.0,68.6
25467,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,92,9375182-82,20.0,29.66
25468,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,93,8575613-13,24.0,36.68
25469,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,94,8575624-24,24.0,54.96
25470,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,95,926446-46,20.0,17.25
25471,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,96,992712-12,20.0,30.06
25472,2021-01-08 00:00:00.000,1-2021,3403434,5003451-51,21000061,97,996713-13,20.0,30.06
28143,2021-01-08 00:00:00.000,1-2021,3403434,5340672-72,20203327,1,837396-96,2800.0,1148.0
28144,2021-01-08 00:00:00.000,1-2021,3403434,5340672-72,20203327,2,8805374-74,2160.0,1598.4
28145,2021-01-08 00:00:00.000,1-2021,3403434,5340672-72,20203327,3,896996-96,3500.0,3780.0
28146,2021-01-08 00:00:00.000,1-2021,3403434,5340672-72,20203395,1,9240111-11,2592.0,1283.04
28147,2021-01-08 00:00:00.000,1-2021,3403434,5340672-72,20203395,2,8805374-74,4320.0,3196.8
28148,2021-01-08 00:00:00.000,1-2021,3403434,5340672-72,20203395,3,896996-96,5250.0,5670.0
39889,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,1,8308611-11,20.0,12.81
39890,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,2,802051-51,10.0,7.97
39891,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,3,802052-52,10.0,7.97
39892,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,4,830863-63,20.0,29.25
39893,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,5,830865-65,40.0,58.51
39894,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,6,802797-97,20.0,18.46
39895,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,7,802796-96,20.0,18.46
39896,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,8,943437-37,20.0,32.38
39897,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,9,872721-21,10.0,6.41
39898,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,10,802063-63,20.0,12.51
39899,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,11,802070-70,20.0,24.82
39900,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,12,802077-77,20.0,18.3
39901,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,13,802078-78,20.0,18.3
39902,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,14,902126-26,20.0,25.72
39903,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,16,895956-56,20.0,20.68
39904,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,17,8871292-92,20.0,25.72
39905,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,18,8031256-56,20.0,13.82
39906,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,19,8031246-46,20.0,13.82
39907,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,22,942076-76,20.0,27.44
39908,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,23,943453-53,20.0,25.42
39909,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,26,8479004-04,20.0,33.19
39910,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,27,8794074-74,20.0,44.28
39911,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,28,897001-01,25.0,32.28
39912,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,29,921215-15,25.0,39.75
39913,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,30,920400-00,25.0,39.75
39914,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,31,8902742-42,25.0,17.28
39915,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,32,8902753-53,25.0,13.24
39916,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,33,861127-27,25.0,13.75
39917,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,34,9373901-01,20.0,10.59
39918,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,35,9245611-11,20.0,21.28
39919,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,36,950640-40,20.0,31.88
39920,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,37,889228-28,20.0,12.71
39921,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,38,824755-55,20.0,14.32
39922,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,39,951344-44,20.0,29.76
39923,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,40,875709-09,25.0,15.76
39924,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,41,1199005728-28,12.0,20.46
39925,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,42,875708-08,25.0,25.85
39926,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,43,8757121-21,25.0,17.65
39927,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,44,8022921-21,10.0,10.04
39928,2021-01-11 00:00:00.000,1-2021,3403434,5293132-32,21000301,46,888695-95,25.0,31.4
41207,2021-01-11 00:00:00.000,1-2021,3403434,5340669-69,20203403,1,8949591-91,3000.0,1470.0
41208,2021-01-11 00:00:00.000,1-2021,3403434,5340669-69,20203403,2,952547-47,7200.0,5544.0
50825,2021-01-12 00:00:00.000,1-2021,3403434,5029913-13,21000427,1,918777-77,960.0,1522.08
51238,2021-01-12 00:00:00.000,1-2021,3403434,5293132-32,20245714,1,996674-74,1.0,334.55
51239,2021-01-12 00:00:00.000,1-2021,3403434,5293132-32,20245714,2,989668-68,1.0,176.65
51240,2021-01-12 00:00:00.000,1-2021,3403434,5293132-32,20245714,3,950635-35,1.0,320.23
51241,2021-01-12 00:00:00.000,1-2021,3403434,5293132-32,20245714,4,951365-65,1.0,258.2
53566,2021-01-12 00:00:00.000,1-2021,3403434,5340672-72,20203348,1,9240111-11,2592.0,1283.04
53567,2021-01-12 00:00:00.000,1-2021,3403434,5340672-72,20203348,2,8805374-74,2160.0,1598.4
53568,2021-01-12 00:00:00.000,1-2021,3403434,5340672-72,20203348,3,896996-96,1750.0,1890.0
53569,2021-01-12 00:00:00.000,1-2021,3403434,5340672-72,20203402,1,8949591-91,3000.0,1470.0
53570,2021-01-12 00:00:00.000,1-2021,3403434,5340672-72,20203402,2,952547-47,7200.0,5544.0
62071,2021-01-13 00:00:00.000,1-2021,3403434,5029913-13,21000584,1,802052-52,1200.0,1198.92
62072,2021-01-13 00:00:00.000,1-2021,3403434,5029913-13,21000584,2,802054-54,1200.0,1198.92
62073,2021-01-13 00:00:00.000,1-2021,3403434,5029913-13,21000584,3,8128741-41,1960.0,4660.1
62074,2021-01-13 00:00:00.000,1-2021,3403434,5029913-13,21000584,4,880410-10,700.0,938.42
62075,2021-01-13 00:00:00.000,1-2021,3403434,5029913-13,21000584,5,875586-86,700.0,938.42
62076,2021-01-13 00:00:00.000,1-2021,3403434,5029913-13,21000584,6,875711-11,500.0,689.25
62077,2021-01-13 00:00:00.000,1-2021,3403434,5029913-13,21000584,7,802078-78,160.0,193.25
62078,2021-01-13 00:00:00.000,1-2021,3403434,5029913-13,21000584,8,830865-65,600.0,1100.28
62079,2021-01-13 00:00:00.000,1-2021,3403434,5029913-13,21000584,9,802077-77,1280.0,1545.98
62080,2021-01-13 00:00:00.000,1-2021,3403434,5029913-13,21000584,10,8803271-71,700.0,447.02
62081,2021-01-13 00:00:00.000,1-2021,3403434,5029913-13,21000584,11,880409-09,600.0,906.78
62082,2021-01-13 00:00:00.000,1-2021,3403434,5029913-13,21000584,12,8871292-92,380.0,612.75
62083,2021-01-13 00:00:00.000,1-2021,3403434,5029913-13,21000584,12,8871292-92,180.0,290.25
62084,2021-01-13 00:00:00.000,1-2021,3403434,5029913-13,21000584,13,892273-73,700.0,938.42
62085,2021-01-13 00:00:00.000,1-2021,3403434,5029913-13,21000584,14,895956-56,560.0,725.93
62086,2021-01-13 00:00:00.000,1-2021,3403434,5029913-13,21000584,15,897785-85,560.0,676.37
62087,2021-01-13 00:00:00.000,1-2021,3403434,5029913-13,21000584,16,902126-26,560.0,903.0
62088,2021-01-13 00:00:00.000,1-2021,3403434,5029913-13,21000584,17,9078342-42,240.0,490.2
62089,2021-01-13 00:00:00.000,1-2021,3403434,5029913-13,21000584,18,964787-87,560.0,506.41
62090,2021-01-13 00:00:00.000,1-2021,3403434,5029913-13,21000584,19,9672961-61,400.0,773.96
62091,2021-01-13 00:00:00.000,1-2021,3403434,5029913-13,21000584,20,992668-68,700.0,1416.45
62092,2021-01-13 00:00:00.000,1-2021,3403434,5029913-13,21000584,21,8297732-32,768.0,1354.98
62093,2021-01-13 00:00:00.000,1-2021,3403434,5029913-13,21000584,22,8871561-61,840.0,956.09
62094,2021-01-13 00:00:00.000,1-2021,3403434,5029913-13,21000584,23,841360-60,216.0,305.94
62095,2021-01-13 00:00:00.000,1-2021,3403434,5029913-13,21000584,24,937508-08,260.0,769.44
62096,2021-01-13 00:00:00.000,1-2021,3403434,5029913-13,21000584,25,888681-81,336.0,792.49
62097,2021-01-13 00:00:00.000,1-2021,3403434,5029913-13,21000584,26,841800-00,400.0,1578.32
75168,2021-01-14 00:00:00.000,1-2021,3403434,5003269-69,21000869,1,952530-30,40.0,67.45
75169,2021-01-14 00:00:00.000,1-2021,3403434,5003269-69,21000869,2,830622-22,30.0,41.24
75170,2021-01-14 00:00:00.000,1-2021,3403434,5003269-69,21000869,4,862275-75,30.0,30.21
75171,2021-01-14 00:00:00.000,1-2021,3403434,5003269-69,21000869,5,918777-77,60.0,99.07
75172,2021-01-14 00:00:00.000,1-2021,3403434,5003269-69,21000869,6,952494-94,24.0,46.6
76177,2021-01-14 00:00:00.000,1-2021,3403434,5003474-74,21000857,1,875708-08,50.0,51.7
76178,2021-01-14 00:00:00.000,1-2021,3403434,5003474-74,21000857,2,802077-77,60.0,54.91
76179,2021-01-14 00:00:00.000,1-2021,3403434,5003474-74,21000857,3,8755911-11,25.0,38.84
76180,2021-01-14 00:00:00.000,1-2021,3403434,5003474-74,21000857,4,921216-16,25.0,39.75
76181,2021-01-14 00:00:00.000,1-2021,3403434,5003474-74,21000857,5,8902742-42,50.0,34.55
76182,2021-01-14 00:00:00.000,1-2021,3403434,5003474-74,21000857,6,8902753-53,50.0,26.48
76183,2021-01-14 00:00:00.000,1-2021,3403434,5003474-74,21000857,8,997954-54,20.0,71.42
76184,2021-01-14 00:00:00.000,1-2021,3403434,5003474-74,21000857,9,968503-03,20.0,119.84
76185,2021-01-14 00:00:00.000,1-2021,3403434,5003474-74,21000857,10,943452-52,20.0,25.42
76186,2021-01-14 00:00:00.000,1-2021,3403434,5003474-74,21000857,11,8755811-11,25.0,61.53
76187,2021-01-14 00:00:00.000,1-2021,3403434,5003474-74,21000857,12,861127-27,25.0,13.75
102372,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,1,8308611-11,50.0,32.03
102373,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,2,8308581-81,50.0,32.03
102374,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,3,802052-52,60.0,47.81
102375,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,4,802054-54,50.0,39.85
102376,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,5,830864-64,10.0,14.63
102377,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,6,830863-63,20.0,29.25
102378,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,7,830865-65,20.0,29.25
102379,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,8,949875-75,20.0,15.94
102380,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,9,949871-71,20.0,15.94
102381,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,10,949869-69,20.0,29.05
102382,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,11,918533-33,20.0,29.25
102383,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,13,802798-98,20.0,18.46
102384,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,14,8957921-21,40.0,28.04
102385,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,15,872721-21,30.0,19.22
102386,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,16,872723-23,20.0,29.25
102387,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,17,802077-77,80.0,73.22
102388,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,19,897785-85,40.0,38.54
102389,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,20,935588-88,20.0,44.99
102390,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,21,902126-26,60.0,77.17
102391,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,24,887776-76,40.0,38.54
102392,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,25,949898-98,20.0,19.27
102393,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,26,933949-49,20.0,25.72
102394,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,27,895956-56,40.0,41.36
102395,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,29,9649051-51,20.0,25.72
102396,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,32,943452-52,20.0,25.42
102397,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,33,944017-17,20.0,52.05
102398,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,35,880410-10,25.0,26.73
102399,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,36,8755811-11,25.0,61.53
102400,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,37,880336-36,25.0,19.17
102401,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,38,875582-82,25.0,19.17
102402,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,39,896016-16,25.0,9.33
102403,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,40,942053-53,25.0,15.64
102404,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,41,8755921-21,50.0,20.68
102405,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,42,8803271-71,25.0,12.74
102406,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,43,933872-72,10.0,12.71
102407,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,45,889228-28,20.0,12.71
102408,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,47,964859-59,20.0,25.02
102409,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,49,875710-10,50.0,31.53
102410,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,50,905470-70,25.0,27.49
102411,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,51,875711-11,25.0,27.49
102412,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,52,1199005728-28,24.0,40.92
102413,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,53,905471-71,25.0,43.5
102414,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,55,841360-60,24.0,27.12
102415,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,56,841362-62,24.0,30.5
102416,2021-01-18 00:00:00.000,1-2021,3403434,5003451-51,21001785,57,8128704-04,40.0,38.94
